账号ID,密码,职业类型,姓名,头像,服务地区,省份,城市,手机号,微信号,个人简介
lj_001,Pass1234,策划师,张明,avatar1.png,全国,四川省,成都市,13800000001,zhangming01,资深殡葬策划师，10年从业经验
lj_002,Pass1234,策划师,李华,avatar2.png,四川省,四川省,成都市,13800000002,lihua02,专业策划各类告别仪式
lj_003,Pass1234,策划师,王芳,avatar3.png,四川省,四川省,绵阳市,13800000003,wangfang03,温馨策划，贴心服务
lj_004,Pass1234,策划师,刘强,avatar4.png,四川省,四川省,达州市,13800000004,liuqiang04,达州本地策划专家
lj_005,Pass1234,策划师,陈静,avatar5.png,四川省,四川省,南充市,13800000005,chenjing05,细致入微的策划服务
lj_006,Pass1234,策划师,赵伟,avatar6.png,四川省,四川省,泸州市,13800000006,zhaowei06,传统与现代结合的策划理念
lj_007,Pass1234,策划师,孙丽,avatar7.png,四川省,四川省,德阳市,13800000007,sunli07,用心策划每一个告别
lj_008,Pass1234,策划师,周强,avatar8.png,四川省,四川省,广元市,13800000008,zhouqiang08,广元地区专业策划师
lj_009,Pass1234,策划师,吴敏,avatar9.png,四川省,四川省,内江市,13800000009,wumin09,温柔细致的策划风格
lj_010,Pass1234,策划师,郑杰,avatar10.png,四川省,四川省,乐山市,13800000010,zhengjie10,乐山本地资深策划
lj_011,Pass1234,主持人,林娜,avatar11.png,全国,四川省,成都市,13800000011,linna11,国家一级殡葬主持人
lj_012,Pass1234,主持人,黄伟,avatar12.png,四川省,四川省,成都市,13800000012,huangwei12,声音温暖，主持经验丰富
lj_013,Pass1234,主持人,杨帆,avatar13.png,四川省,四川省,绵阳市,13800000013,yangfan13,专业主持各类告别仪式
lj_014,Pass1234,主持人,朱莉,avatar14.png,四川省,四川省,达州市,13800000014,zhuli14,达州知名主持人
lj_015,Pass1234,主持人,谢军,avatar15.png,四川省,四川省,南充市,13800000015,xiejun15,庄重得体的主持风格
lj_016,Pass1234,主持人,马超,avatar16.png,四川省,四川省,泸州市,13800000016,macao16,泸州本地主持人
lj_017,Pass1234,主持人,韩雪,avatar17.png,四川省,四川省,德阳市,13800000017,hanxue17,温馨感人的主持
lj_018,Pass1234,主持人,冯磊,avatar18.png,四川省,四川省,广元市,13800000018,fenglei18,广元地区资深主持
lj_019,Pass1234,主持人,董洋,avatar19.png,四川省,四川省,内江市,13800000019,dongyang19,专业主持，口碑极佳
lj_020,Pass1234,主持人,许婷,avatar20.png,四川省,四川省,乐山市,13800000020,xuting20,乐山本地主持人
lj_021,Pass1234,礼仪师,曾慧,avatar21.png,四川省,四川省,成都市,13800000021,zenghui21,专业礼仪服务，细节到位
lj_022,Pass1234,礼仪师,邓强,avatar22.png,四川省,四川省,成都市,13800000022,dengqiang22,礼仪规范，服务周到
lj_023,Pass1234,礼仪师,蒋丽,avatar23.png,四川省,四川省,绵阳市,13800000023,jiangli23,绵阳本地礼仪师
lj_024,Pass1234,礼仪师,蔡明,avatar24.png,四川省,四川省,达州市,13800000024,caiming24,达州礼仪服务专家
lj_025,Pass1234,礼仪师,贾芳,avatar25.png,四川省,四川省,南充市,13800000025,jiafang25,温馨礼仪服务
