账号ID,密码,职业类型,姓名,头像,服务地区,省份,城市,手机号,微信号,个人简介
lj_041,Pass1234,花艺师,田静,avatar41.png,四川省,四川省,成都市,13800000041,tianjing41,专业殡葬花艺师，插花艺术精湛
lj_042,Pass1234,花艺师,龙伟,avatar42.png,四川省,四川省,成都市,13800000042,longwei42,传统花艺与现代设计结合
lj_043,Pass1234,花艺师,叶芳,avatar43.png,四川省,四川省,绵阳市,13800000043,yefang43,温馨花艺，用心设计每一束花
lj_044,Pass1234,花艺师,白强,avatar44.png,四川省,四川省,达州市,13800000044,baiqiang44,达州本地花艺师
lj_045,Pass1234,花艺师,邵敏,avatar45.png,四川省,四川省,南充市,13800000045,shaomin45,花艺设计独具匠心
lj_046,Pass1234,花艺师,史杰,avatar46.png,四川省,四川省,泸州市,13800000046,shijie46,泸州花艺服务专家
lj_047,Pass1234,花艺师,常丽,avatar47.png,四川省,四川省,德阳市,13800000047,changli47,德阳本地花艺师
lj_048,Pass1234,花艺师,万峰,avatar48.png,四川省,四川省,广元市,13800000048,wanfeng48,广元地区花艺师
lj_049,Pass1234,花艺师,严娜,avatar49.png,四川省,四川省,内江市,13800000049,yanna49,内江花艺服务
lj_050,Pass1234,花艺师,齐涛,avatar50.png,四川省,四川省,乐山市,13800000050,qitao50,乐山花艺师
lj_051,Pass1234,摄像师,安慧,avatar51.png,全国,四川省,成都市,13800000051,anhui51,专业殡葬摄像师，设备先进
lj_052,Pass1234,摄像师,易明,avatar52.png,四川省,四川省,成都市,13800000052,yiming52,影像记录，留存美好回忆
lj_053,Pass1234,摄像师,钱伟,avatar53.png,四川省,四川省,绵阳市,13800000053,qianwei53,绵阳摄像服务
lj_054,Pass1234,摄像师,汤芳,avatar54.png,四川省,四川省,达州市,13800000054,tangfang54,达州本地摄像师
lj_055,Pass1234,摄像师,秦静,avatar55.png,四川省,四川省,南充市,13800000055,qinjing55,南充摄像专家
lj_056,Pass1234,摄像师,孟强,avatar56.png,四川省,四川省,泸州市,13800000056,mengqiang56,泸州摄像师
lj_057,Pass1234,摄像师,平丽,avatar57.png,四川省,四川省,德阳市,13800000057,pingli57,德阳摄像服务
lj_058,Pass1234,摄像师,黄杰,avatar58.png,四川省,四川省,广元市,13800000058,huangjie58,广元地区摄像师
lj_059,Pass1234,摄像师,梁敏,avatar59.png,四川省,四川省,内江市,13800000059,liangmin59,内江摄像服务
lj_060,Pass1234,摄像师,宋伟,avatar60.png,四川省,四川省,乐山市,13800000060,songwei60,乐山摄像师
lj_061,Pass1234,摄影师,唐娜,avatar61.png,全国,四川省,成都市,13800000061,tangna61,专业殡葬摄影师，定格永恒瞬间
lj_062,Pass1234,摄影师,罗刚,avatar62.png,四川省,四川省,成都市,13800000062,luogang62,光影艺术，记录珍贵时刻
lj_063,Pass1234,摄影师,苏丽,avatar63.png,四川省,四川省,绵阳市,13800000063,suli63,绵阳摄影服务
lj_064,Pass1234,摄影师,董明,avatar64.png,四川省,四川省,达州市,13800000064,dongming64,达州本地摄影师
lj_065,Pass1234,摄影师,范静,avatar65.png,四川省,四川省,南充市,13800000065,fanjing65,南充摄影专家
lj_066,Pass1234,摄影师,于强,avatar66.png,四川省,四川省,泸州市,13800000066,yuqiang66,泸州摄影师
lj_067,Pass1234,摄影师,袁芳,avatar67.png,四川省,四川省,德阳市,13800000067,yuanfang67,德阳摄影服务
lj_068,Pass1234,摄影师,傅伟,avatar68.png,四川省,四川省,广元市,13800000068,fuwei68,广元地区摄影师
lj_069,Pass1234,摄影师,沈娜,avatar69.png,四川省,四川省,内江市,13800000069,shenna69,内江摄影服务
lj_070,Pass1234,摄影师,曾杰,avatar70.png,四川省,四川省,乐山市,13800000070,zengjie70,乐山摄影师
lj_071,Pass1234,歌手,陆勇,avatar71.png,全国,四川省,成都市,13800000071,luyong71,专业葬礼歌手，声音浑厚感人
lj_072,Pass1234,歌手,姚丽,avatar72.png,四川省,四川省,成都市,13800000072,yaoli72,用歌声传递思念与祝福
lj_073,Pass1234,歌手,吕明,avatar73.png,四川省,四川省,绵阳市,13800000073,lvming73,绵阳歌手
lj_074,Pass1234,歌手,方静,avatar74.png,四川省,四川省,达州市,13800000074,fangjing74,达州本地歌手
lj_075,Pass1234,歌手,夏芳,avatar75.png,四川省,四川省,南充市,13800000075,xiafang75,南充歌手
lj_076,Pass1234,歌手,汪强,avatar76.png,四川省,四川省,泸州市,13800000076,wangqiang76,泸州歌手
lj_077,Pass1234,歌手,丁娜,avatar77.png,四川省,四川省,德阳市,13800000077,dingna77,德阳歌手
lj_078,Pass1234,歌手,雷伟,avatar78.png,四川省,四川省,广元市,13800000078,leiwei78,广元地区歌手
lj_079,Pass1234,歌手,任丽,avatar79.png,四川省,四川省,内江市,13800000079,renli79,内江歌手
lj_080,Pass1234,歌手,贾明,avatar80.png,四川省,四川省,乐山市,13800000080,jiaming80,乐山歌手
